account,revision_id,parent_id,page_id,namespace,page_title,timestamp,comment,size,sizediff,minor,tags
تیرتاوافن,33653713,33230678,434563,0,علی جنتی,2021-11-28T13:40:08Z,,32940,-153,False,mobile edit; mobile web edit; visualeditor; mw-reverted
تیرتاوافن,33656005,33655994,5865475,3,بحث کاربر:تیرتاوافن,2021-11-28T23:17:46Z,,9178,719,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33657259,0,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T08:50:27Z,صفحه‌ای تازه حاوی «'''صدیقه مظاهری''' (مرگ در ۶ فروردین ۱۳۹۴) همسر [[احمد جنتی]] از سال ۱۳۲۶ تا زمان مرگ خودش بود.  {{Infobox person|تصویر=Sedigheh_mouzaheri.jpg|تاریخ درگذشت=۶ فروردین ۱۳۹۴|علت مرگ=[[کهولت سن]]|مدفن=قطعه ۲۱ بهشت زهرا، کنار [[آرامگاه کشته‌شدگان هفتم تیر]]|محل_مرگ=[[تهران]]، [...» ایجاد کرد,794,794,False,visualeditor; disambiguator-link-added
تیرتاوافن,33657274,33657259,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T08:52:03Z,/* مرگ */,790,-4,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33657769,33657274,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T10:32:14Z,,3641,2851,False,
تیرتاوافن,33657775,33657769,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T10:34:58Z,/* top */,3637,-4,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33657785,33657775,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T10:39:30Z,/* ازدواج و فرزندان */,3637,0,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33657794,33657785,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T10:42:43Z,/* ازدواج و فرزندان */,3648,11,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33658088,33655992,434563,0,علی جنتی,2021-11-29T11:15:57Z,اضافه کردن اسم مادر، برداشتن پرچم از قسمت ملیت و نوشتن تاریخ تولد دقیق در جعبه اطلاعات,32960,-133,True,mobile edit; mobile web edit; visualeditor; disambiguator-link-added
تیرتاوافن,33658589,33657711,3646913,3,بحث کاربر:Luckie Luke,2021-11-29T12:11:38Z,/* صفحه صدیقه مظاهری */ بخش جدید,2460,371,False,mobile edit; mobile web edit; discussiontools-added-comment
تیرتاوافن,33659934,33657794,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T16:58:27Z,,6856,3208,False,visualeditor
تیرتاوافن,33659961,33659934,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:05:10Z,,6836,-20,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33659963,33659961,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:05:56Z,,6805,-31,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33659974,33659963,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:09:36Z,,6844,39,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33659992,33659974,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:11:35Z,,6887,43,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33660002,33659992,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:14:00Z,,5983,-904,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33660004,33660002,5865954,2,کاربر:تیرتاوافن/صفحه تمرین,2021-11-29T17:14:38Z,,5982,-1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33660212,33658419,3219649,4,ویکی‌پدیا:درخواست محافظت صفحه,2021-11-29T17:40:38Z,/* درخواست‌های محافظت */,8339,537,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33660435,33660331,3219649,4,ویکی‌پدیا:درخواست محافظت صفحه,2021-11-29T18:47:44Z,,8109,-537,False,mobile edit; mobile web edit
تیرتاوافن,33660437,33660435,3219649,4,ویکی‌پدیا:درخواست محافظت صفحه,2021-11-29T18:48:01Z,/* درخواست‌های خروج از محافظت */,8646,537,False,mobile edit; mobile web edit; discussiontools-added-comment
تیرتاوافن,33660558,33656005,5865475,3,بحث کاربر:تیرتاوافن,2021-11-29T19:20:50Z,,10937,1759,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33706598,33545187,3746575,0,ناهید (خواننده),2021-12-07T13:03:38Z,,8781,-23,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33706612,33706598,3746575,0,ناهید (خواننده),2021-12-07T13:10:34Z,,8943,162,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33706617,33706612,3746575,0,ناهید (خواننده),2021-12-07T13:11:03Z,,8947,4,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33707366,33706617,3746575,0,ناهید (خواننده),2021-12-07T15:07:10Z,,9206,259,False,mobile edit; mobile web edit; visualeditor; استفادهٔ زیاد از تگ یا الگوی سرخط
تیرتاوافن,33707419,33707366,3746575,0,ناهید (خواننده),2021-12-07T15:09:37Z,وقتی نام همکاری های مرتبطش را در جدول اطلاعات شخص گذاشتم دیگر نیازی به این بخش نیست.,8828,-378,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33707468,33707419,3746575,0,ناهید (خواننده),2021-12-07T15:16:28Z,,8934,106,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33707498,33707468,3746575,0,ناهید (خواننده),2021-12-07T15:18:00Z,نام آلبومها در قسمت دیگری نوشته شده.,8750,-184,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33707567,33702862,5111695,3,بحث کاربر:Patricia Mannerheim,2021-12-07T15:24:37Z,/* حذف صفحه صدیقه مظاهری */ بخش جدید,36137,1071,False,mobile edit; mobile web edit; discussiontools-added-comment
تیرتاوافن,33707713,33707639,5111695,3,بحث کاربر:Patricia Mannerheim,2021-12-07T15:52:21Z,,37802,756,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33712952,33173497,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T11:44:39Z,,9354,888,False,visualeditor; disambiguator-link-added
تیرتاوافن,33712967,33712952,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T11:47:15Z,,9378,24,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33712996,33712967,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T11:53:48Z,,9332,-46,False,mobile edit; mobile web edit
تیرتاوافن,33713094,33712996,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T12:07:40Z,,9300,-32,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33713156,33713094,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T12:21:14Z,/* top */اشتباهات اصلاح شد,9299,-1,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33713200,33713156,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-08T12:42:57Z,,9327,28,False,mobile edit; mobile web edit; متن دارای ویکی‌متن نامتناظر; visualeditor
تیرتاوافن,33717470,33716238,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-09T08:30:38Z,/* top */اشتباهات اصلاح شد,9249,-28,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33718904,33677755,115533,0,انقلاب فرانسه,2021-12-09T13:57:44Z,/* top */دستور زبان اصلاح شد,41882,0,False,mobile edit; mobile app edit; android app edit; mw-reverted
تیرتاوافن,33718931,33718910,115533,0,انقلاب فرانسه,2021-12-09T13:59:42Z,/* top */دستور زبان اصلاح شد,41882,0,False,mobile edit; mobile app edit; android app edit; mw-reverted
تیرتاوافن,33718951,33718931,115533,0,انقلاب فرانسه,2021-12-09T14:03:08Z,/* top */دستور زبان اصلاح شد,41882,0,False,mobile edit; mobile app edit; android app edit; mw-manual-revert
تیرتاوافن,33727083,33721311,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-11T08:01:41Z,,9754,273,False,mobile edit; mobile web edit; visualeditor; استفادهٔ زیاد از تگ یا الگوی سرخط
تیرتاوافن,33728035,33719591,5872632,0,آریل (دیزنی),2021-12-11T10:15:10Z,,6779,539,False,mobile edit; mobile web edit; visualeditor; استفادهٔ زیاد از تگ یا الگوی سرخط
تیرتاوافن,33728046,33728035,5872632,0,آریل (دیزنی),2021-12-11T10:16:48Z,تغییر باشکوه به با شکوه,6780,1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33728072,33728046,5872632,0,آریل (دیزنی),2021-12-11T10:19:36Z,,6788,8,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33728121,33727083,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-11T10:25:58Z,,10552,798,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33728151,33728121,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-11T10:31:36Z,,10566,14,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33729564,33729152,243020,0,پری دریایی کوچولو (فیلم ۱۹۸۹),2021-12-11T14:07:04Z,/* top */پیوندهایی افزوده شد,9513,135,False,mobile edit; mobile app edit; android app edit; استفادهٔ زیاد از تگ یا الگوی سرخط
تیرتاوافن,33729774,32046173,888218,0,آریل,2021-12-11T14:38:13Z,/* top */پیوندهایی افزوده شد,583,50,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33729779,33729774,888218,0,آریل,2021-12-11T14:39:14Z,/* top */اشتباهات اصلاح شد,586,3,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33734883,33731651,5872632,0,آریل (دیزنی),2021-12-12T13:36:42Z,/* top */اشتباهات اصلاح شد,6464,-351,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33734942,33734883,5872632,0,آریل (دیزنی),2021-12-12T13:51:15Z,"/* top */دستور زبان اصلاح شد, پیوندهایی افزوده شد",6494,30,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33734973,33732998,5874042,0,پرنسس دیزنی,2021-12-12T13:59:22Z,/* فهرست پرنسس‌های دیزنی */ اشتباهات اصلاح شد,34343,64,False,mobile edit; mobile app edit; android app edit; mw-reverted
تیرتاوافن,33736374,33734038,4058618,3,بحث کاربر:The Ocean,2021-12-12T17:56:50Z,/* همکاری برای ایجاد صفحات مربوط به شرکت والت دیزنی */ بخش جدید,1451,1193,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33736840,33736801,4058618,3,بحث کاربر:The Ocean,2021-12-12T19:51:47Z,,3994,1275,False,mobile edit; mobile app edit; android app edit; mw-reverted; discussiontools-added-comment
تیرتاوافن,33736842,33736840,4058618,3,بحث کاربر:The Ocean,2021-12-12T19:52:01Z,خنثی‌سازی ویرایش 33736840 از [[Special:Contributions/تیرتاوافن|تیرتاوافن]] ([[User talk:تیرتاوافن|بحث]]),2719,-1275,False,mobile edit; mw-undo; mobile app edit; android app edit
تیرتاوافن,33736864,33736842,4058618,3,بحث کاربر:The Ocean,2021-12-12T19:58:48Z,,4018,1299,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33736945,33736864,4058618,3,بحث کاربر:The Ocean,2021-12-12T20:17:42Z,,4427,409,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33737910,0,5874786,0,تیانا (دیزنی),2021-12-13T04:12:52Z,ایجاد شده به‌واسطهٔ ترجمهٔ صفحهٔ «[[:en:Special:Redirect/revision/1055643447|Tiana (The Princess and the Frog)]]»,59802,59802,False,متن دارای ویکی‌متن نامتناظر; contenttranslation; contenttranslation-v2
تیرتاوافن,33738159,33737910,5874786,0,تیانا (دیزنی),2021-12-13T06:11:43Z,,59830,28,False,
تیرتاوافن,33738332,33738159,5874786,0,تیانا (دیزنی),2021-12-13T07:04:09Z,,60795,965,False,متن دارای ویکی‌متن نامتناظر; visualeditor
تیرتاوافن,33738437,33737719,4058618,3,بحث کاربر:The Ocean,2021-12-13T07:42:25Z,/* صفحه جدید تیانا ( شاهدخت و قورباغه) */ بخش جدید,6957,518,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33738747,26704004,3824974,0,تیانا,2021-12-13T09:27:00Z,,273,49,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33739062,33738332,5874786,0,تیانا (دیزنی),2021-12-13T10:52:42Z,,66250,5455,False,visualeditor; استفادهٔ زیاد از تگ یا الگوی سرخط
تیرتاوافن,33739675,33739279,4058618,3,بحث کاربر:The Ocean,2021-12-13T13:52:09Z,,9616,2134,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33740815,33739276,5874940,0,تیانا (شاهدخت و قورباغه),2021-12-13T18:18:52Z,تغییرمسیر به [[پیش‌نویس:تیانا (شاهدخت و قورباغه)]] حذف شد,88622,88520,False,متن دارای ویکی‌متن نامتناظر; mw-removed-redirect; استفادهٔ زیاد از تگ یا الگوی سرخط; تبدیل تغییرمسیر به مقاله; mw-reverted; disambiguator-link-added
تیرتاوافن,33740828,33740815,5874940,0,تیانا (شاهدخت و قورباغه),2021-12-13T18:22:54Z,,173132,84510,False,mobile edit; mobile web edit; متن دارای ویکی‌متن نامتناظر; استفادهٔ زیاد از تگ یا الگوی سرخط; mw-reverted
تیرتاوافن,33740833,33740828,5874940,0,تیانا (شاهدخت و قورباغه),2021-12-13T18:23:12Z,,173130,-2,False,mobile edit; mobile web edit; mw-reverted
تیرتاوافن,33740860,33740833,5874940,0,تیانا (شاهدخت و قورباغه),2021-12-13T18:26:36Z,,172142,-988,False,mobile edit; mobile web edit; mw-reverted
تیرتاوافن,33747929,33742920,5874786,0,تیانا (دیزنی),2021-12-14T22:21:47Z,,35949,-26166,False,disambiguator-link-added
تیرتاوافن,33747945,33747929,5874786,0,تیانا (دیزنی),2021-12-14T22:32:12Z,,35965,16,False,visualeditor
تیرتاوافن,33747961,33747945,5874786,0,تیانا (دیزنی),2021-12-14T22:37:34Z,,35932,-33,False,visualeditor-switched
تیرتاوافن,33747963,33747961,5874786,0,تیانا (دیزنی),2021-12-14T22:38:08Z,,35929,-3,False,
تیرتاوافن,33747972,33747963,5874786,0,تیانا (دیزنی),2021-12-14T22:41:01Z,/* سیر تکاملی شخصیت */ پیوندهایی افزوده شد,35932,3,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33747990,33747972,5874786,0,تیانا (دیزنی),2021-12-14T22:44:15Z,/* سیر تکاملی شخصیت */ اشتباهات اصلاح شد,35936,4,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33748017,33747990,5874786,0,تیانا (دیزنی),2021-12-14T22:53:15Z,,35939,3,False,visualeditor
تیرتاوافن,33748022,33748017,5874786,0,تیانا (دیزنی),2021-12-14T22:53:59Z,,35936,-3,False,mobile edit; mobile web edit
تیرتاوافن,33748026,33748022,5874786,0,تیانا (دیزنی),2021-12-14T22:54:53Z,,35939,3,False,mobile edit; mobile web edit
تیرتاوافن,33748033,33748026,5874786,0,تیانا (دیزنی),2021-12-14T22:55:36Z,,35936,-3,False,mobile edit; mobile web edit
تیرتاوافن,33748041,33748033,5874786,0,تیانا (دیزنی),2021-12-14T22:58:13Z,,35941,5,False,mobile edit; mobile web edit
تیرتاوافن,33748046,33748041,5874786,0,تیانا (دیزنی),2021-12-14T22:58:45Z,,35936,-5,False,mobile edit; mobile web edit
تیرتاوافن,33748058,33748046,5874786,0,تیانا (دیزنی),2021-12-14T23:01:40Z,,35940,4,False,mobile edit; mobile web edit
تیرتاوافن,33748066,33748058,5874786,0,تیانا (دیزنی),2021-12-14T23:02:53Z,,35936,-4,False,mobile edit; mobile web edit
تیرتاوافن,33748076,33748066,5874786,0,تیانا (دیزنی),2021-12-14T23:04:42Z,,35933,-3,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748083,33748076,5874786,0,تیانا (دیزنی),2021-12-14T23:06:47Z,,35932,-1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748089,33748083,5874786,0,تیانا (دیزنی),2021-12-14T23:08:30Z,,35933,1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748090,33748089,5874786,0,تیانا (دیزنی),2021-12-14T23:08:56Z,/* صدا */,35933,0,False,mobile edit; mobile web edit
تیرتاوافن,33748093,33748090,5874786,0,تیانا (دیزنی),2021-12-14T23:09:27Z,,35934,1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748102,33748093,5874786,0,تیانا (دیزنی),2021-12-14T23:11:01Z,,35944,10,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748107,33748102,5874786,0,تیانا (دیزنی),2021-12-14T23:11:59Z,,35946,2,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748115,33748107,5874786,0,تیانا (دیزنی),2021-12-14T23:13:30Z,,35909,-37,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748126,33748115,5874786,0,تیانا (دیزنی),2021-12-14T23:14:27Z,,35911,2,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748136,33748126,5874786,0,تیانا (دیزنی),2021-12-14T23:15:47Z,,35916,5,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748154,33748136,5874786,0,تیانا (دیزنی),2021-12-14T23:18:58Z,,35940,24,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33748180,33748154,5874786,0,تیانا (دیزنی),2021-12-14T23:25:25Z,,35950,10,False,visualeditor
تیرتاوافن,33748192,33748180,5874786,0,تیانا (دیزنی),2021-12-14T23:34:01Z,,35989,39,False,mobile edit; mobile web edit
تیرتاوافن,33748195,33748192,5874786,0,تیانا (دیزنی),2021-12-14T23:35:09Z,/* تم پارک‌ها */,35993,4,False,mobile edit; mobile web edit
تیرتاوافن,33748198,33748195,5874786,0,تیانا (دیزنی),2021-12-14T23:36:56Z,/* روزی روزگاری */,35916,-77,False,mobile edit; mobile web edit
تیرتاوافن,33748210,33748198,5874786,0,تیانا (دیزنی),2021-12-14T23:44:14Z,,35911,-5,False,mobile edit; mobile web edit
تیرتاوافن,33748213,33748210,5874786,0,تیانا (دیزنی),2021-12-14T23:45:49Z,,35891,-20,False,mobile edit; mobile web edit
تیرتاوافن,33748228,33747504,4058618,3,بحث کاربر:The Ocean,2021-12-14T23:52:31Z,/* تبدیل پیش‌نویس به مقاله */ بخش جدید,20388,683,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33748244,33748213,5874786,0,تیانا (دیزنی),2021-12-15T00:03:36Z,/* سیر تکاملی شخصیت */ اشتباهات اصلاح شد,35893,2,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33748245,33748244,5874786,0,تیانا (دیزنی),2021-12-15T00:05:53Z,/* سیر تکاملی شخصیت */ اشتباهات اصلاح شد,35895,2,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33748249,33748245,5874786,0,تیانا (دیزنی),2021-12-15T00:07:26Z,/* سیر تکاملی شخصیت */ اشتباهات اصلاح شد,35896,1,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33749336,33748271,5874786,0,تیانا (دیزنی),2021-12-15T08:21:25Z,/* طراحی و مشخصات */,35944,0,False,mobile edit; mobile web edit
تیرتاوافن,33749342,33749336,5874786,0,تیانا (دیزنی),2021-12-15T08:22:31Z,/* طراحی و مشخصات */,35944,0,False,mobile edit; mobile web edit
تیرتاوافن,33749349,33749342,5874786,0,تیانا (دیزنی),2021-12-15T08:25:33Z,,35944,0,False,mobile edit; mobile web edit
تیرتاوافن,33749353,33749349,5874786,0,تیانا (دیزنی),2021-12-15T08:27:27Z,,35945,1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33749358,33749353,5874786,0,تیانا (دیزنی),2021-12-15T08:28:29Z,,35949,4,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33749364,33749358,5874786,0,تیانا (دیزنی),2021-12-15T08:29:53Z,,35932,-17,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33749453,33748235,4058618,3,بحث کاربر:The Ocean,2021-12-15T08:47:52Z,/* برنامه های بعدی که به نظرم باید داشته باشیم */ بخش جدید,21978,1344,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33750032,33706661,5865475,3,بحث کاربر:تیرتاوافن,2021-12-15T11:36:07Z,,8436,-4914,False,mobile edit; mobile web edit
تیرتاوافن,33750033,33750032,5865475,3,بحث کاربر:تیرتاوافن,2021-12-15T11:36:18Z,,6023,-2413,False,mobile edit; mobile web edit; mw-manual-revert
تیرتاوافن,33750045,33707498,3746575,0,ناهید (خواننده),2021-12-15T11:39:27Z,/* top */,8733,-17,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33750909,33750898,4058618,3,بحث کاربر:The Ocean,2021-12-15T15:28:33Z,,23502,553,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33750941,33750925,4058618,3,بحث کاربر:The Ocean,2021-12-15T15:37:13Z,,24431,187,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33751045,33750941,4058618,3,بحث کاربر:The Ocean,2021-12-15T16:03:42Z,,25080,649,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33751432,33750882,5874786,0,تیانا (دیزنی),2021-12-15T17:19:13Z,/* top */تیانا دو شکل دارد قورباغه و انسان که در اینجا تیانا انسان نمایش داده شده,53756,25,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33758195,33628056,5862858,3,بحث کاربر:پاندورا,2021-12-17T09:38:03Z,/* همکاری برای کامل کردن صفحات دیزنی در ویکی پدیا */ بخش جدید,6913,945,False,discussiontools-added-comment; wikieditor
تیرتاوافن,33758212,33735728,5872632,0,آریل (دیزنی),2021-12-17T09:41:19Z,,6507,204,False,mobile edit; mobile web edit; visualeditor; استفادهٔ زیاد از تگ یا الگوی سرخط; mw-manual-revert
تیرتاوافن,33758266,33758212,5872632,0,آریل (دیزنی),2021-12-17T09:59:03Z,,6616,109,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33758460,33758274,5877687,0,داستان‌های افسون‌شده پرنسس دیزنی: رؤیاهای خود را دنبال کنید,2021-12-17T10:16:14Z,/* top */اشتباهات اصلاح شد,6761,45,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33758489,33758460,5877687,0,داستان‌های افسون‌شده پرنسس دیزنی: رؤیاهای خود را دنبال کنید,2021-12-17T10:19:46Z,/* top */دستور زبان اصلاح شد,6785,24,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33758980,32949427,2664438,0,اصغر,2021-12-17T11:33:30Z,/* top */پیوندهایی افزوده شد,991,24,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33758992,32848911,258413,0,اصغر بیچاره,2021-12-17T11:37:18Z,/* top */اشتباهات اصلاح شد,9197,-15,False,mobile edit; mobile app edit; android app edit; disambiguator-link-added
تیرتاوافن,33760468,33759832,4058618,3,بحث کاربر:The Ocean,2021-12-17T17:37:48Z,,28132,589,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33760477,33757045,621537,0,گیسوکمند,2021-12-17T17:40:01Z,/* top */اشتباهات اصلاح شد,25944,-4,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33760507,33760477,621537,0,گیسوکمند,2021-12-17T17:45:11Z,/* top */دستور زبان اصلاح شد,25990,46,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33760583,33757046,5877554,0,ماجراجویی راپانزل گیسوکمند,2021-12-17T17:57:57Z,/* انتشار */ دستور زبان اصلاح شد,26231,4,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33762959,0,5878268,0,سوفیای یکم,2021-12-18T10:36:44Z,ایجاد شده به‌واسطهٔ ترجمهٔ صفحهٔ «[[:en:Special:Redirect/revision/1059471259|Sofia the First]]»,22966,22966,False,contenttranslation; پیوند به بیرون نیازمند بازبینی; contenttranslation-v2
تیرتاوافن,33762978,33762959,5878268,0,سوفیای یکم,2021-12-18T10:39:22Z,,22964,-2,False,mobile edit; mobile web edit
تیرتاوافن,33762984,33762978,5878268,0,سوفیای یکم,2021-12-18T10:40:37Z,,22960,-4,False,mobile edit; mobile web edit
تیرتاوافن,33763008,33762984,5878268,0,سوفیای یکم,2021-12-18T10:45:16Z,/* تاریخچه */منبع در جای اشتباه قرار گرفته,22751,-209,False,mobile edit; mobile web edit; حذف منبع
تیرتاوافن,33763012,33763008,5878268,0,سوفیای یکم,2021-12-18T10:46:01Z,,22750,-1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33763016,33763012,5878268,0,سوفیای یکم,2021-12-18T10:46:35Z,,22959,209,False,mobile edit; mobile web edit
تیرتاوافن,33763077,33763016,5878268,0,سوفیای یکم,2021-12-18T10:56:35Z,در ویکی‌پدیا انگلیسی که مقاله از روی آن ترجمه شده جای این منابع اینجا نیست,22857,-102,False,mobile edit; mobile web edit; حذف منبع
تیرتاوافن,33763127,33763077,5878268,0,سوفیای یکم,2021-12-18T11:04:31Z,/* تاریخچه */,23335,478,False,mobile edit; mobile web edit
تیرتاوافن,33763133,33763127,5878268,0,سوفیای یکم,2021-12-18T11:05:59Z,,23334,-1,False,mobile edit; mobile web edit
تیرتاوافن,33763150,33763133,5878268,0,سوفیای یکم,2021-12-18T11:09:18Z,,23336,2,False,mobile edit; mobile web edit
تیرتاوافن,33763154,33763150,5878268,0,سوفیای یکم,2021-12-18T11:10:15Z,,23335,-1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33763188,33763154,5878268,0,سوفیای یکم,2021-12-18T11:16:08Z,,23338,3,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33763201,33763188,5878268,0,سوفیای یکم,2021-12-18T11:18:27Z,,23364,26,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33763215,33763201,5878268,0,سوفیای یکم,2021-12-18T11:21:27Z,,23368,4,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33763233,33763215,5878268,0,سوفیای یکم,2021-12-18T11:24:10Z,,23379,11,False,mobile edit; mobile web edit
تیرتاوافن,33763604,33763233,5878268,0,سوفیای یکم,2021-12-18T12:32:00Z,/* پذیرایی */,23425,46,False,mobile edit; mobile web edit
تیرتاوافن,33763827,33763604,5878268,0,سوفیای یکم,2021-12-18T13:01:18Z,,23517,92,False,mobile edit; mobile web edit
تیرتاوافن,33763835,33763827,5878268,0,سوفیای یکم,2021-12-18T13:01:59Z,/* همچنین ببینید */,23501,-16,False,mobile edit; mobile web edit
تیرتاوافن,33763842,33763835,5878268,0,سوفیای یکم,2021-12-18T13:03:42Z,/* پیوند به بیرون */,23315,-186,False,mobile edit; mobile web edit
تیرتاوافن,33763845,33763842,5878268,0,سوفیای یکم,2021-12-18T13:04:26Z,,23316,1,False,mobile edit; mobile web edit; visualeditor
تیرتاوافن,33764083,33762880,4058618,3,بحث کاربر:The Ocean,2021-12-18T13:54:08Z,/* صفحه سوفیای یکم */ بخش جدید,15136,460,False,mobile edit; mobile app edit; android app edit; discussiontools-added-comment
تیرتاوافن,33764132,33763845,5878268,0,سوفیای یکم,2021-12-18T14:09:30Z,/* top */,23235,-81,False,mobile edit; mobile app edit; android app edit
تیرتاوافن,33764642,33751630,314241,0,فردوسی,2021-12-18T16:16:37Z,/* top */تاریخ تولد میلادی اضافه شد و دین و مذهب از هم جدا شدند.,254960,199,False,mobile edit; mobile app edit; android app edit; mw-reverted
